policy_name,time,net_pnl,no_cost_net_pnl,cumulative_net_pnl,cumulative_no_cost_net_pnl,equity,no_cost_equity,drawdown,ddpercent
v3_1d_donchian_20_10_atr4,2023-01-22T00:00:00+08:00,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0
v3_1d_donchian_20_10_atr4,2023-02-11T00:00:00+08:00,-0.1394344799999999,-0.13715999999999987,-0.13943448000009084,-0.13716000000022177,4999.86056552,4999.86284,0.13943448000009084,0.002788689600001817
v3_1d_donchian_20_10_atr4,2023-02-11T00:00:00+08:00,-0.04616998999999998,-0.04553999999999998,-0.1856044699998165,-0.1827000000002954,4999.81439553,4999.8173,0.1856044699998165,0.0037120893999963303
v3_1d_donchian_20_10_atr4,2023-02-14T00:00:00+08:00,-0.008329820000000002,-0.008220000000000002,-0.19393428999956086,-0.19092000000000553,4999.80606571,4999.80908,0.19393428999956086,0.003878685799991217
v3_1d_donchian_20_10_atr4,2023-02-19T00:00:00+08:00,-0.01645388,-0.016340000000000004,-0.2103881700004422,-0.207260000000133,4999.78961183,4999.79274,0.2103881700004422,0.0042077634000088435
v3_1d_donchian_20_10_atr4,2023-03-04T00:00:00+08:00,-0.2470156400000001,-0.2446200000000001,-0.4574038099999598,-0.45187999999961903,4999.54259619,4999.54812,0.4574038099999598,0.009148076199999196
v3_1d_donchian_20_10_atr4,2023-03-04T00:00:00+08:00,-0.013175520000000001,-0.01306,-0.4705793299999641,-0.46493999999984226,4999.52942067,4999.53506,0.4705793299999641,0.00941158659999928
v3_1d_donchian_20_10_atr4,2023-03-14T00:00:00+08:00,-0.409292645,-0.40705,-0.879871975000242,-0.8719899999996414,4999.120128025,4999.12801,0.879871975000242,0.01759743950000484
v3_1d_donchian_20_10_atr4,2023-03-15T00:00:00+08:00,-0.35487147999999996,-0.35324,-1.2347434550001708,-1.2252300000000105,4998.765256545,4998.77477,1.2347434550001708,0.024694869100003413
v3_1d_donchian_20_10_atr4,2023-03-15T00:00:00+08:00,-0.009506699999999995,-0.009399999999999995,-1.2442501550003726,-1.2346299999999246,4998.755749845,4998.76537,1.2442501550003726,0.024885003100007453
v3_1d_donchian_20_10_atr4,2023-04-22T00:00:00+08:00,-0.0021048650000000074,-0.0019900000000000074,-1.24635502000001,-1.2366199999996752,4998.75364498,4998.76338,1.24635502000001,0.0249271004000002
v3_1d_donchian_20_10_atr4,2023-05-25T00:00:00+08:00,0.022509735000000156,0.024330000000000154,-1.2238452849996975,-1.2122900000003938,4998.776154715,4998.78771,1.2238452849996975,0.02447690569999395
v3_1d_donchian_20_10_atr4,2023-06-05T00:00:00+08:00,0.12632671000000006,0.12902000000000008,-1.097518575000322,-1.083270000000084,4998.902481425,4998.91673,1.097518575000322,0.021950371500006442
v3_1d_donchian_20_10_atr4,2023-06-11T00:00:00+08:00,-0.073153945,-0.07257,-1.1706725200001529,-1.155840000000353,4998.82932748,4998.84416,1.1706725200001529,0.023413450400003057
v3_1d_donchian_20_10_atr4,2023-06-22T00:00:00+08:00,-0.11271334999999988,-0.11087999999999988,-1.28338586999962,-1.2667199999996228,4998.71661413,4998.73328,1.28338586999962,0.025667717399992396
v3_1d_donchian_20_10_atr4,2023-06-22T00:00:00+08:00,-0.021648205000000004,-0.02109,-1.3050340749996394,-1.2878099999998085,4998.694965925,4998.71219,1.3050340749996394,0.026100681499992787
v3_1d_donchian_20_10_atr4,2023-06-23T00:00:00+08:00,0.009019840000000008,0.009120000000000008,-1.296014235000257,-1.278690000000097,4998.703985765,4998.72131,1.296014235000257,0.025920284700005142
v3_1d_donchian_20_10_atr4,2023-08-04T00:00:00+08:00,0.0035797749999999977,0.003689999999999998,-1.2924344599996402,-1.2749999999996362,4998.70756554,4998.725,1.2924344599996402,0.025848689199992808
